,product_id,product_name,discounted_price,actual_price,discount_percentage,rating,rating_count,category_1,category_2,rating_score,difference_price
0,B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",399.0,1099.0,64%,4.2,"24,269",Computers & Accessories,Accessories & Peripherals,Above Average,700.0
1,B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",199.0,349.0,43%,4.0,"43,994",Computers & Accessories,Accessories & Peripherals,Above Average,150.0
2,B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",199.0,1899.0,90%,3.9,"7,928",Computers & Accessories,Accessories & Peripherals,Average,1700.0
3,B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",329.0,699.0,53%,4.2,"94,363",Computers & Accessories,Accessories & Peripherals,Above Average,370.0
4,B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",154.0,399.0,61%,4.2,"16,905",Computers & Accessories,Accessories & Peripherals,Above Average,245.0
5,B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",149.0,1000.0,85%,3.9,"24,871",Computers & Accessories,Accessories & Peripherals,Average,851.0
6,B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",176.63,499.0,65%,4.1,"15,188",Computers & Accessories,Accessories & Peripherals,Above Average,322.37
7,B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),229.0,299.0,23%,4.3,"30,411",Computers & Accessories,Accessories & Peripherals,Above Average,70.0
8,B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",499.0,999.0,50%,4.2,"1,79,691",Computers & Accessories,Networking Devices,Above Average,500.0
9,B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",199.0,299.0,33%,4.0,"43,994",Computers & Accessories,Accessories & Peripherals,Above Average,100.0
10,B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),154.0,339.0,55%,4.3,"13,391",Computers & Accessories,Accessories & Peripherals,Above Average,185.0
11,B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),299.0,799.0,63%,4.2,"94,363",Computers & Accessories,Accessories & Peripherals,Above Average,500.0
12,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",219.0,700.0,69%,4.4,"4,26,973",Electronics,"Home Theater, TV & Video",Above Average,481.0
13,B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",350.0,899.0,61%,4.2,"2,262",Computers & Accessories,Accessories & Peripherals,Above Average,549.0
14,B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),159.0,399.0,60%,4.1,"4,768",Computers & Accessories,Accessories & Peripherals,Above Average,240.0
15,B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),349.0,399.0,13%,4.4,"18,757",Computers & Accessories,Accessories & Peripherals,Above Average,50.0
16,B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),13999.0,24999.0,44%,4.2,"32,840",Electronics,"Home Theater, TV & Video",Above Average,11000.0
17,B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",249.0,399.0,38%,4.0,"43,994",Computers & Accessories,Accessories & Peripherals,Above Average,150.0
18,B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",199.0,499.0,60%,4.1,"13,045",Computers & Accessories,Accessories & Peripherals,Above Average,300.0
19,B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),13490.0,21990.0,39%,4.3,"11,976",Electronics,"Home Theater, TV & Video",Above Average,8500.0
20,B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",970.0,1799.0,46%,4.5,815,Computers & Accessories,Accessories & Peripherals,Above Average,829.0
21,B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",279.0,499.0,44%,3.7,"10,962",Electronics,"Home Theater, TV & Video",Average,220.0
